Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Auchencorth Moss",,"Bournemouth",,"Brighton Preston Park",,"Chilbolton Observatory",,"Inverness",,"London Marylebone Road",,"London N. Kensington",,"London Westminster",,"Northampton Kingsthorpe",,"Wrexham",
Latitude,55.792160,,50.739570,,50.840836,,51.149617,,57.481308,,51.522530,,51.521050,,51.494670,,52.271886,,53.042282,,
Longitude,-3.242900,,-1.826744,,-0.147572,,-1.438228,,-4.241451,,-0.154611,,-0.213419,,-0.131931,,-0.879898,,-3.002829,,
Site Type,Rural Background,,Urban Background,,Urban Background,,Rural Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Background,,Urban Background,,Urban Traffic,,
Zone,Central Scotland,,South West,,South East,,South East,,Highland,,Greater London,,Greater London,,Greater London,,East Midlands,,North Wales,,
Agglomeration,#N/A,,Bournemouth Urban Area,,Brighton/Worthing/Littlehampton,,#N/A,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,#N/A,,
Local Authority,"Midlothian",,"Bournemouth",,"Brighton",,"Test Valley",,"Highland",,"Westminster",,"Kensington",,"Westminster",,"Northampton",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2016-08-12,3.25,V ugm-3 (GRAV EMFAB),5.083,V ugm-3 (GRAV EMFAB),7.167,V ugm-3 (GRAV EMFAB),5.167,V ugm-3 (GRAV EMFAB),3.354,V ugm-3 (GRAV EMFAB),13.598,V ugm-3 (GRAV EMFAB),6.083,V ugm-3 (GRAV EMFAB),7.125,V ugm-3 (GRAV EMFAB),4.042,V ugm-3 (GRAV EMFAB),3.32,V ugm-3 (GRAV EMFAB)
2016-08-13,1.833,V ugm-3 (GRAV EMFAB),2.792,V ugm-3 (GRAV EMFAB),4.167,V ugm-3 (GRAV EMFAB),3.208,V ugm-3 (GRAV EMFAB),2.687,V ugm-3 (GRAV EMFAB),8.703,V ugm-3 (GRAV EMFAB),3.625,V ugm-3 (GRAV EMFAB),4.667,V ugm-3 (GRAV EMFAB),1.458,V ugm-3 (GRAV EMFAB),3.237,V ugm-3 (GRAV EMFAB)
2016-08-14,2.708,V ugm-3 (GRAV EMFAB),4.149,V ugm-3 (GRAV EMFAB),5,V ugm-3 (GRAV EMFAB),5.042,V ugm-3 (GRAV EMFAB),2.604,V ugm-3 (GRAV EMFAB),5.607,V ugm-3 (GRAV EMFAB),3.5,V ugm-3 (GRAV EMFAB),4.708,V ugm-3 (GRAV EMFAB),3.417,V ugm-3 (GRAV EMFAB),2.697,V ugm-3 (GRAV EMFAB)
2016-08-15,2.458,V ugm-3 (GRAV EMFAB),4.417,V ugm-3 (GRAV EMFAB),3.458,V ugm-3 (GRAV EMFAB),5.25,V ugm-3 (GRAV EMFAB),4.812,V ugm-3 (GRAV EMFAB),8.368,V ugm-3 (GRAV EMFAB),4.333,V ugm-3 (GRAV EMFAB),6.583,V ugm-3 (GRAV EMFAB),4.5,V ugm-3 (GRAV EMFAB),7.137,V ugm-3 (GRAV EMFAB)
2016-08-16,8.25,V ugm-3 (GRAV EMFAB),5.625,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),7.75,V ugm-3 (GRAV EMFAB),8.02,V ugm-3 (GRAV EMFAB),9.414,V ugm-3 (GRAV EMFAB),5.5,V ugm-3 (GRAV EMFAB),7.833,V ugm-3 (GRAV EMFAB),4.875,V ugm-3 (GRAV EMFAB),7.51,V ugm-3 (GRAV EMFAB)
2016-08-17,6.708,V ugm-3 (GRAV EMFAB),11.292,V ugm-3 (GRAV EMFAB),9.667,V ugm-3 (GRAV EMFAB),10.5,V ugm-3 (GRAV EMFAB),8.604,V ugm-3 (GRAV EMFAB),16.234,V ugm-3 (GRAV EMFAB),9.417,V ugm-3 (GRAV EMFAB),9.167,V ugm-3 (GRAV EMFAB),6.458,V ugm-3 (GRAV EMFAB),11.328,V ugm-3 (GRAV EMFAB)
2016-08-18,6.958,V ugm-3 (GRAV EMFAB),11.167,V ugm-3 (GRAV EMFAB),14.333,V ugm-3 (GRAV EMFAB),15.292,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),12.803,V ugm-3 (GRAV EMFAB),10.375,V ugm-3 (GRAV EMFAB),9.833,V ugm-3 (GRAV EMFAB),7.333,V ugm-3 (GRAV EMFAB),9.876,V ugm-3 (GRAV EMFAB)
2016-08-19,5.375,V ugm-3 (GRAV EMFAB),5.436,V ugm-3 (GRAV EMFAB),8.375,V ugm-3 (GRAV EMFAB),9.583,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),19.625,V ugm-3 (GRAV EMFAB),11.75,V ugm-3 (GRAV EMFAB),11.042,V ugm-3 (GRAV EMFAB),6.958,V ugm-3 (GRAV EMFAB),6.473,V ugm-3 (GRAV EMFAB)
2016-08-20,4.292,V ugm-3 (GRAV EMFAB),7.137,V ugm-3 (GRAV EMFAB),9.875,V ugm-3 (GRAV EMFAB),6.417,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),12.008,V ugm-3 (GRAV EMFAB),7.167,V ugm-3 (GRAV EMFAB),6.667,V ugm-3 (GRAV EMFAB),3.792,V ugm-3 (GRAV EMFAB),2.905,V ugm-3 (GRAV EMFAB)
2016-08-21,2.75,V ugm-3 (GRAV EMFAB),4.667,V ugm-3 (GRAV EMFAB),5.542,V ugm-3 (GRAV EMFAB),3.583,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),8.87,V ugm-3 (GRAV EMFAB),3,V ugm-3 (GRAV EMFAB),1.917,V ugm-3 (GRAV EMFAB),1.458,V ugm-3 (GRAV EMFAB),2.49,V ugm-3 (GRAV EMFAB)
