Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Brighton Preston Park",,"Inverness",,"London Marylebone Road",,"London Westminster",,"Wrexham",
Latitude,50.840836,,57.481308,,51.522530,,51.494670,,53.042282,,
Longitude,-0.147572,,-4.241451,,-0.154611,,-0.131931,,-3.002829,,
Site Type,Urban Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Traffic,,
Zone,South East,,Highland,,Greater London,,Greater London,,North Wales,,
Agglomeration,Brighton/Worthing/Littlehampton,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,
Local Authority,"Brighton",,"Highland",,"Westminster",,"Westminster",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2018-03-19,11.125,V ugm-3 (GRAV EMFAB),5.007,V ugm-3 (GRAV EMFAB),11.167,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB)
2018-03-20,7.833,V ugm-3 (GRAV EMFAB),5.59,V ugm-3 (GRAV EMFAB),6.625,V ugm-3 (GRAV EMFAB),,,No data,V ugm-3 (GRAV EMFAB)
2018-03-21,11.208,V ugm-3 (GRAV EMFAB),4.59,V ugm-3 (GRAV EMFAB),14.625,V ugm-3 (GRAV EMFAB),,,7.967,V ugm-3 (GRAV EMFAB)
2018-03-22,6.042,V ugm-3 (GRAV EMFAB),4.007,V ugm-3 (GRAV EMFAB),12.594,V ugm-3 (GRAV EMFAB),,,5.934,V ugm-3 (GRAV EMFAB)
2018-03-23,8.458,V ugm-3 (GRAV EMFAB),2.423,V ugm-3 (GRAV EMFAB),11.297,V ugm-3 (GRAV EMFAB),,,3.485,V ugm-3 (GRAV EMFAB)
2018-03-24,15.417,V ugm-3 (GRAV EMFAB),2.048,V ugm-3 (GRAV EMFAB),22.5,V ugm-3 (GRAV EMFAB),,,7.012,V ugm-3 (GRAV EMFAB)
2018-03-25,29.375,V ugm-3 (GRAV EMFAB),2.423,V ugm-3 (GRAV EMFAB),24.292,V ugm-3 (GRAV EMFAB),,,3.734,V ugm-3 (GRAV EMFAB)
2018-03-26,9.583,V ugm-3 (GRAV EMFAB),3.548,V ugm-3 (GRAV EMFAB),10.418,V ugm-3 (GRAV EMFAB),,,5.809,V ugm-3 (GRAV EMFAB)
2018-03-27,5.458,V ugm-3 (GRAV EMFAB),2.59,V ugm-3 (GRAV EMFAB),9.749,V ugm-3 (GRAV EMFAB),,,3.444,V ugm-3 (GRAV EMFAB)
2018-03-28,3.625,V ugm-3 (GRAV EMFAB),3.048,V ugm-3 (GRAV EMFAB),9.75,V ugm-3 (GRAV EMFAB),,,3.568,V ugm-3 (GRAV EMFAB)
2018-03-29,4.583,V ugm-3 (GRAV EMFAB),4.354,V ugm-3 (GRAV EMFAB),10.5,V ugm-3 (GRAV EMFAB),,,5.975,V ugm-3 (GRAV EMFAB)
2018-03-30,3.583,V ugm-3 (GRAV EMFAB),5.396,V ugm-3 (GRAV EMFAB),8.042,V ugm-3 (GRAV EMFAB),,,9.046,V ugm-3 (GRAV EMFAB)
2018-03-31,4.125,V ugm-3 (GRAV EMFAB),5.063,V ugm-3 (GRAV EMFAB),8.208,V ugm-3 (GRAV EMFAB),,,6.556,V ugm-3 (GRAV EMFAB)
2018-04-01,5.667,V ugm-3 (GRAV EMFAB),4.279,V ugm-3 (GRAV EMFAB),8.583,V ugm-3 (GRAV EMFAB),,,7.884,V ugm-3 (GRAV EMFAB)
2018-04-02,5.792,V ugm-3 (GRAV EMFAB),2.467,V ugm-3 (GRAV EMFAB),10,V ugm-3 (GRAV EMFAB),,,6.266,V ugm-3 (GRAV EMFAB)
2018-04-03,6.833,V ugm-3 (GRAV EMFAB),2.89,V ugm-3 (GRAV EMFAB),10.417,V ugm-3 (GRAV EMFAB),,,4.772,V ugm-3 (GRAV EMFAB)
2018-04-04,6.917,V ugm-3 (GRAV EMFAB),2.384,V ugm-3 (GRAV EMFAB),7.542,V ugm-3 (GRAV EMFAB),,,3.61,V ugm-3 (GRAV EMFAB)
2018-04-05,3.458,V ugm-3 (GRAV EMFAB),3.102,V ugm-3 (GRAV EMFAB),6.311,V ugm-3 (GRAV EMFAB),,,3.195,V ugm-3 (GRAV EMFAB)
2018-04-06,9.708,V ugm-3 (GRAV EMFAB),6.101,V ugm-3 (GRAV EMFAB),10.438,V ugm-3 (GRAV EMFAB),,,9.17,V ugm-3 (GRAV EMFAB)
2018-04-07,11.125,V ugm-3 (GRAV EMFAB),4.076,V ugm-3 (GRAV EMFAB),16.505,V ugm-3 (GRAV EMFAB),,,9.419,V ugm-3 (GRAV EMFAB)
2018-04-08,9.042,V ugm-3 (GRAV EMFAB),2.429,V ugm-3 (GRAV EMFAB),16.145,V ugm-3 (GRAV EMFAB),,,9.087,V ugm-3 (GRAV EMFAB)
2018-04-09,25.375,V ugm-3 (GRAV EMFAB),3.064,V ugm-3 (GRAV EMFAB),18.27,V ugm-3 (GRAV EMFAB),,,10.705,V ugm-3 (GRAV EMFAB)
2018-04-10,15.25,V ugm-3 (GRAV EMFAB),2.642,V ugm-3 (GRAV EMFAB),22.405,V ugm-3 (GRAV EMFAB),,,12.365,V ugm-3 (GRAV EMFAB)
