Feature,1 Day,2 Day,3 Day,4 Day,5 Day,6 Day,7 Day,8 Day,9 Day,10 Day,11 Day,12 Day,13 Day,14 Day,15 Day,16 Day,17 Day,18 Day,19 Day,20 Day,21 Day,22 Day,23 Day,24 Day,25 Day,26 Day,27 Day,28 Day,29 Day,30 Day
day_of_week_x,0.0034453990111337875,-0.00027252955989947035,0.0004074527286100249,-6.706582175359798e-05,0.0,0.00023770665323272767,-0.00038429421871026824,-0.00015991859221764493,-7.55506166269182e-05,0.0006786874458610814,-0.0012610190988599612,0.00028305263681822624,0.004927958735713256,-0.003116350732530737,-0.0005469516901707383,-0.0021402747740691284,-0.002747602174192787,0.00035961108400592854,0.0014251155438627983,0.0005920207084607387,-0.0011889213028178248,-0.000492016432577902,0.00020956405796277445,-0.0044154369129852265,-0.0011156770683674378,8.000861963544103e-05,0.0004260912705598141,-0.000968738070556352,6.388835052968389e-05,-0.00035876145619821996
month_cos,0.0032055145452828614,-0.0004494453662007958,0.0,0.0,0.0,0.0015759240981588097,0.0005302506668555917,9.472410330571001e-05,0.00013432354994233898,-0.0010806879754797106,0.0012612030121152084,0.00016995519399629622,0.0,-0.0015775428499497756,-0.002720449373851741,0.0006982442428324464,-0.002217682362976925,-0.000520070618977142,-0.002944392328677292,0.003551315887029416,-0.00037189238968142745,-0.0004356454687511668,-0.006070924867982175,-0.020557735990075397,-0.014574748576566732,-0.017831331018866158,0.006572540747305932,0.011362758165314003,0.0009332867522738652,-0.014218601852120117
relative_humidity_max_pct,0.003080987785801681,-0.0010917842058846272,0.0006274405608880151,-0.0009291468593811914,-0.006700841616787479,-0.011599075767580614,0.0005182363606297535,-0.0003153682424784865,-7.063368676401005e-05,-0.013627885155758879,-0.015515448405451914,-0.024877502552487572,0.0008425016348859061,-0.001553415107727263,0.0022834928397807096,0.011690490163605372,0.0018474918277530783,-0.0016020200569508702,0.0024079485768855324,-0.005703824453575956,-0.0031858854460647735,-0.00441523531027026,-0.0037322668595745068,-0.004709061903112044,0.0014513875319891677,-0.0001354429848804628,-0.00027560084085469504,-0.0007665635574434671,-0.0017306460195508854,-0.004246845545169187
wind_speed_min_knots,0.0028258094446062198,-0.001825561576126744,0.0,0.0,0.0,0.0,0.0,-0.00146639748905546,0.0,0.0001713123025190555,0.00027277627680208914,-0.0001177581873808009,0.005511935280259372,0.001854363782065116,-0.00012963330506572391,8.492319063186926e-05,-0.0017795073539448314,0.0006358212129228935,0.0,0.0,6.049437008481817e-06,0.0005084927319086053,8.724246206885944e-05,0.0,0.0004986164492489121,-0.001693822279484758,4.9909993519703376e-05,-0.00010652258282641824,0.0,0.00124570224099525
week_of_year,0.002627223950115365,0.0,0.0016501472927530792,0.0008563587533102268,0.0018084596060110147,0.010500077695154219,0.01629354693308569,0.008688001726450257,0.006551398075801984,0.06534442271216427,0.017937159686858672,0.026506120061332662,0.01566191362179925,0.031211633355276814,0.01993187960376046,-0.005254032145971621,-0.012936463273568056,-0.019937490314417383,0.005616734836412141,0.017329083334567487,0.008058338568440116,0.01215294798912354,0.0032179373799882337,0.0028144717076246995,0.01921308637016983,0.013041932667500556,0.0009822486769901495,-0.010948039335864034,0.0021725657875854678,0.00012093753871802448
month,0.002199903033653228,0.004406316372571051,-4.1573727890131805e-05,3.838267591249611e-05,-0.0002617178521117758,0.0012002657911632576,0.0006469233697197208,-0.0005832622560226319,0.0003092698782263259,0.0023367724310878303,0.0029577752618549003,0.036875096694989916,0.07077402485741495,0.017660984897613606,0.02994762908421844,0.01869977201538515,-0.0016255354675161371,0.00483518891251804,0.0005572454480154754,0.0005544073359909252,-0.00016151593655981954,0.000645380619673741,0.00017043614317606702,-0.008103811530505833,-0.0001626360732900345,0.0004916883784633619,0.00048300809605499316,0.0,-0.0006669076521002903,-0.0014763952729231367
day_of_week_y,0.0021363094161691576,0.0,0.0,0.0,0.0,0.0,-0.0004978344220076814,0.0,-2.3110147932747792e-05,0.0,-0.00021043472181960787,-0.00043369199741989385,-0.00022384773971673155,2.441147395528809e-05,0.0,0.0,0.0,0.0,0.0,-4.210624584244371e-06,-0.00020694412921007377,-0.0002850079397012095,-0.0004603320202867245,0.00019107944825127454,-0.0003832554043574632,0.0,-6.4201666269037e-05,-0.00020528882741954746,0.0,-0.00015565214042889686
dow_sin,0.0021282016475667963,0.0,0.0,0.0,0.0,-0.0004155299650222766,0.0006475913558017688,0.0013320234384425421,0.0,0.0002189850403087057,0.0005723339707591979,0.0007489096576517529,0.002516065064998063,-0.007186782605307407,0.0,-0.00011084942982133583,-0.0040837596678939825,-8.294809760420741e-05,0.0003762605224828075,-0.000662386833235784,-0.0032928906098749432,-6.87467842769518e-05,0.00016810481499383024,-0.0005807082092059268,0.000411226897112682,0.0011048665413485813,3.1596008323075966e-05,-0.0004717638095223631,0.00044306150123278875,-0.0036452193745599715
dow_cos,0.0008511530006557244,0.0,0.0,0.0,-7.680398840119729e-05,0.0017463708057085636,0.00017824413395675087,-9.979592280480176e-05,0.0,-0.0001660188039147137,-0.0003302377614349705,-0.0023146867752076527,-0.00026340926135004494,-4.1196714128899356e-05,0.00022142591995670812,-0.0016880156665013413,-4.115790386376439e-05,-0.0007386078862102518,-0.0012570669340053354,-0.00013941276905171662,-0.00013367246955922062,-0.0022694739263654285,-0.00020135504758935773,-0.0010853308789869232,-8.308542864892133e-05,-0.0024809416934588047,-8.240000784254242e-05,0.0006991421182947378,-0.0017543789877817683,-2.2435616590277264e-05
quarter,0.00028139487442546685,0.0017774350076748657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.374709045675829e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_weekday,0.0002283152798316479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.253881898814704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00016661243162268135,0.0,-0.0004397813780316007,0.0,0.0,0.0,0.0,0.0,0.0,-1.723879859594213e-05,0.0,0.0
is_weekend,7.897526764655272e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.000147380185931123,6.781900432883959e-06,0.0,0.0,0.0,0.0,-0.0006014070510863778,0.0,0.0,0.0,0.0,0.0002040030990820174,-4.9050048340415485e-05,0.0,8.926949305831933e-05,0.0,0.0,-0.00014701065412339175,0.0,0.0,0.0,0.0,-0.00013724172900531073
precipitation_min_mm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quarter_num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week_cos,-0.0006798828534844814,0.00067532286459564,0.0036743788705972946,0.0007899210850396355,0.0009244145125066438,-0.0016813297111892389,-0.001973331168252557,0.0035658667998367476,0.025652182108919463,0.03909620633906563,0.07240695002396484,0.01072989818724741,0.011062301407512187,-0.009420100225721173,0.0001540754176144965,0.0005746291286642169,0.007731018561107339,0.011186488060592702,0.013545579315959433,0.01956570040347927,0.02764936037035808,0.007983121802235083,0.03720500165765972,0.029110845383475904,0.015113242678234062,0.0032949392612159566,0.004073203480208542,-0.0013496010218347454,-0.013108214292953325,-0.00890722251937821
season_code,-0.0016275066974735797,0.0,0.0,-0.001284117844369792,0.0004769489957760165,-0.00034895229605975687,0.001752530546748865,-0.0012873624817713036,0.001627550796723698,0.0,-0.004566501571503822,0.0026850160279058956,0.000455080002461683,-0.000694512775966194,-0.00016176857716025949,-0.0028156129793191374,-0.0058358485279578435,-0.01951728046284984,-0.007261832002280677,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010112023212536237,0.0,0.0,0.0,5.585847500544361e-05
temperature_min_c,-0.005400376897869541,0.011420087959226288,0.008893227590418907,0.030650080415937576,0.016344822920796486,0.024324444405859902,0.07090306227280622,0.05086215659473732,0.016391993845012953,-0.04380197271788897,-0.00769139600542994,-0.0016301703317600058,0.02009307754005789,0.08405103113991866,0.031103705553748907,-0.008701477872914688,-0.038204151326709915,-0.004340102948205571,0.0010335760531215322,0.0043196260929106774,0.0003389329326394019,0.008518846327798401,0.00010330809875682689,-0.002043501391130098,-0.001766070503752859,-0.0006561617033022937,0.003844263093761269,-0.006089433034261393,-0.0005409446545498131,-0.015172998648204095
