Daily measurement data supplied by UK-air on 17/06/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Bournemouth",,"Brighton Preston Park",,"Inverness",,"London Marylebone Road",,"London Westminster",,"Northampton Kingsthorpe",,"Wrexham",
Latitude,50.739570,,50.840836,,57.481308,,51.522530,,51.494670,,52.271886,,53.042282,,
Longitude,-1.826744,,-0.147572,,-4.241451,,-0.154611,,-0.131931,,-0.879898,,-3.002829,,
Site Type,Urban Background,,Urban Background,,Urban Traffic,,Urban Traffic,,Urban Background,,Urban Background,,Urban Traffic,,
Zone,South West,,South East,,Highland,,Greater London,,Greater London,,East Midlands,,North Wales,,
Agglomeration,Bournemouth Urban Area,,Brighton/Worthing/Littlehampton,,#N/A,,Greater London Urban Area,,Greater London Urban Area,,#N/A,,#N/A,,
Local Authority,"Bournemouth",,"Brighton",,"Highland",,"Westminster",,"Westminster",,"Northampton",,"Wrexham",,
Date,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status
2017-02-14,21.08,V ugm-3 (GRAV EMFAB),20.63,V ugm-3 (GRAV EMFAB),23.38,V ugm-3 (GRAV EMFAB),30.04,V ugm-3 (GRAV EMFAB),No data,V ugm-3 (GRAV EMFAB),32.08,V ugm-3 (GRAV EMFAB),49.09,V ugm-3 (GRAV EMFAB)
2017-02-15,6.63,V ugm-3 (GRAV EMFAB),11.17,V ugm-3 (GRAV EMFAB),14.63,V ugm-3 (GRAV EMFAB),19.67,V ugm-3 (GRAV EMFAB),15.88,V ugm-3 (GRAV EMFAB),15.17,V ugm-3 (GRAV EMFAB),17.55,V ugm-3 (GRAV EMFAB)
2017-02-16,3.4,V ugm-3 (GRAV EMFAB),7.04,V ugm-3 (GRAV EMFAB),2.92,V ugm-3 (GRAV EMFAB),16.13,V ugm-3 (GRAV EMFAB),7.67,V ugm-3 (GRAV EMFAB),5.04,V ugm-3 (GRAV EMFAB),4.11,V ugm-3 (GRAV EMFAB)
2017-02-17,4.21,V ugm-3 (GRAV EMFAB),9.13,V ugm-3 (GRAV EMFAB),6.17,V ugm-3 (GRAV EMFAB),19.63,V ugm-3 (GRAV EMFAB),11.92,V ugm-3 (GRAV EMFAB),5.83,V ugm-3 (GRAV EMFAB),8.01,V ugm-3 (GRAV EMFAB)
2017-02-18,14.13,V ugm-3 (GRAV EMFAB),23.04,V ugm-3 (GRAV EMFAB),2.42,V ugm-3 (GRAV EMFAB),22.04,V ugm-3 (GRAV EMFAB),20.83,V ugm-3 (GRAV EMFAB),17.46,V ugm-3 (GRAV EMFAB),13.24,V ugm-3 (GRAV EMFAB)
2017-02-19,6.79,V ugm-3 (GRAV EMFAB),16.13,V ugm-3 (GRAV EMFAB),1.25,V ugm-3 (GRAV EMFAB),15.96,V ugm-3 (GRAV EMFAB),12.79,V ugm-3 (GRAV EMFAB),7.67,V ugm-3 (GRAV EMFAB),2.24,V ugm-3 (GRAV EMFAB)
2017-02-20,3.75,V ugm-3 (GRAV EMFAB),8.21,V ugm-3 (GRAV EMFAB),1.83,V ugm-3 (GRAV EMFAB),11.75,V ugm-3 (GRAV EMFAB),7.33,V ugm-3 (GRAV EMFAB),1.88,V ugm-3 (GRAV EMFAB),2.57,V ugm-3 (GRAV EMFAB)
2017-02-21,3.21,V ugm-3 (GRAV EMFAB),7.46,V ugm-3 (GRAV EMFAB),3.04,V ugm-3 (GRAV EMFAB),10.67,V ugm-3 (GRAV EMFAB),5.33,V ugm-3 (GRAV EMFAB),1.58,V ugm-3 (GRAV EMFAB),3.9,V ugm-3 (GRAV EMFAB)
2017-02-22,4.07,V ugm-3 (GRAV EMFAB),9.79,V ugm-3 (GRAV EMFAB),3.46,V ugm-3 (GRAV EMFAB),9.21,V ugm-3 (GRAV EMFAB),3.92,V ugm-3 (GRAV EMFAB),0.13,V ugm-3 (GRAV EMFAB),1.41,V ugm-3 (GRAV EMFAB)
2017-02-23,3.79,V ugm-3 (GRAV EMFAB),5.38,V ugm-3 (GRAV EMFAB),3.67,V ugm-3 (GRAV EMFAB),6.71,V ugm-3 (GRAV EMFAB),4,V ugm-3 (GRAV EMFAB),2,V ugm-3 (GRAV EMFAB),0.91,V ugm-3 (GRAV EMFAB)
2017-02-24,5.83,V ugm-3 (GRAV EMFAB),10.38,V ugm-3 (GRAV EMFAB),3.79,V ugm-3 (GRAV EMFAB),10.04,V ugm-3 (GRAV EMFAB),8.71,V ugm-3 (GRAV EMFAB),5.04,V ugm-3 (GRAV EMFAB),3.32,V ugm-3 (GRAV EMFAB)
2017-02-25,4.42,V ugm-3 (GRAV EMFAB),8.29,V ugm-3 (GRAV EMFAB),4.17,V ugm-3 (GRAV EMFAB),11.33,V ugm-3 (GRAV EMFAB),7.33,V ugm-3 (GRAV EMFAB),4.67,V ugm-3 (GRAV EMFAB),1.12,V ugm-3 (GRAV EMFAB)
2017-02-26,3,V ugm-3 (GRAV EMFAB),6.25,V ugm-3 (GRAV EMFAB),2.67,V ugm-3 (GRAV EMFAB),8.08,V ugm-3 (GRAV EMFAB),3.54,V ugm-3 (GRAV EMFAB),2.67,V ugm-3 (GRAV EMFAB),1.2,V ugm-3 (GRAV EMFAB)
2017-02-27,2.29,V ugm-3 (GRAV EMFAB),4.67,V ugm-3 (GRAV EMFAB),4.75,V ugm-3 (GRAV EMFAB),9.71,V ugm-3 (GRAV EMFAB),3.79,V ugm-3 (GRAV EMFAB),2.42,V ugm-3 (GRAV EMFAB),2.12,V ugm-3 (GRAV EMFAB)
2017-02-28,3.33,V ugm-3 (GRAV EMFAB),6.04,V ugm-3 (GRAV EMFAB),3.04,V ugm-3 (GRAV EMFAB),11.84,V ugm-3 (GRAV EMFAB),6.67,V ugm-3 (GRAV EMFAB),3.54,V ugm-3 (GRAV EMFAB),0.41,V ugm-3 (GRAV EMFAB)
2017-03-01,2.08,V ugm-3 (GRAV EMFAB),4.79,V ugm-3 (GRAV EMFAB),4.67,V ugm-3 (GRAV EMFAB),13.88,V ugm-3 (GRAV EMFAB),4.46,V ugm-3 (GRAV EMFAB),3.92,V ugm-3 (GRAV EMFAB),2.61,V ugm-3 (GRAV EMFAB)
2017-03-02,5.47,V ugm-3 (GRAV EMFAB),7.25,V ugm-3 (GRAV EMFAB),4.88,V ugm-3 (GRAV EMFAB),14.31,V ugm-3 (GRAV EMFAB),6.46,V ugm-3 (GRAV EMFAB),4.63,V ugm-3 (GRAV EMFAB),3.86,V ugm-3 (GRAV EMFAB)
