date,O3,NO,NO2,NOx,CO,PM10,station,day_of_week,quarter_num,year
2023-09-30,22.717718333333334,31.1825,43.11890625,90.94734375,0.2997815,20.4,London Marylebone Road,5,3,2023
2023-10-01,29.619514166666665,21.708217083333334,38.5846875,71.84625,0.29153508333333333,14.8,London Marylebone Road,6,4,2023
2023-10-02,10.05333875,50.80668666666667,49.3584375,127.25296875,0.279408,45.0,London Marylebone Road,0,4,2023
2023-10-03,20.796857083333332,33.73426791666667,46.7446875,98.45390625,0.29590083333333334,9.6,London Marylebone Road,1,4,2023
2023-10-04,18.726318333333335,47.11156041666666,59.0803125,131.31703124999999,0.331797,10.8,London Marylebone Road,2,4,2023
2023-10-05,25.486752083333332,52.241081666666666,61.71,141.78796875,0.33228208333333337,15.9,London Marylebone Road,3,4,2023
2023-10-06,27.232989583333335,43.83220083333333,60.18,127.404375,0.3250058333333333,26.8,London Marylebone Road,4,4,2023
2023-10-07,26.675856666666665,32.35184375,53.685468750000005,103.29890625,0.34101358333333337,17.9,London Marylebone Road,5,4,2023
2023-10-08,17.4124825,32.544135833333335,64.32375,114.2240625,0.4098954166666667,,London Marylebone Road,6,4,2023
2023-10-09,11.458644166666666,59.51180125,77.55984375,168.8259375,0.4778070833333334,34.3,London Marylebone Road,0,4,2023
2023-10-10,23.407897916666666,43.4372225,64.34765625,130.9425,0.337618,26.0,London Marylebone Road,1,4,2023
2023-10-11,25.445175000000003,36.67604304347826,51.21342391304348,107.42429347826086,0.285229,13.8,London Marylebone Road,2,4,2023
2023-10-12,8.697925833333334,38.936548333333334,44.01140625,103.7053125,0.29541575000000003,22.7,London Marylebone Road,3,4,2023
2023-10-13,28.03126958333333,21.489939583333335,36.0346875,68.96953125,0.2066455,16.7,London Marylebone Road,4,4,2023
2023-10-14,30.13507,19.41110625,36.91125,66.6984375,0.32209533333333334,13.4,London Marylebone Road,5,4,2023
2023-10-15,24.573140869565215,19.270785,32.377031249999995,61.92515624999999,0.36817825,11.7,London Marylebone Road,6,4,2023
2023-10-16,12.3234475,26.489533750000003,53.92453125,94.573125,0.3764246666666667,15.7,London Marylebone Road,0,4,2023
2023-10-17,21.977646250000003,28.287724583333333,53.087812500000005,96.48562500000001,0.31384891666666664,19.1,London Marylebone Road,1,4,2023
2023-10-18,12.198716249999999,28.77105333333333,43.732499999999995,87.8315625,0.35702133333333336,17.5,London Marylebone Road,2,4,2023
2023-10-19,17.121442916666666,33.66670583333333,52.553906250000004,104.20734375,0.31578924999999997,15.0,London Marylebone Road,3,4,2023
2023-10-20,12.082300416666667,42.39260875,53.685468750000005,118.67062499999999,0.3992235833333333,13.0,London Marylebone Road,4,4,2023
2023-10-21,12.456494166666667,31.561887083333332,43.41375,91.75218749999999,0.3497450833333333,9.9,London Marylebone Road,5,4,2023
2023-10-22,9.9785,33.96293958333333,47.175000000000004,99.23484375,0.4341495833333333,13.1,London Marylebone Road,6,4,2023
2023-10-23,6.81032625,37.31505833333333,58.96875,116.14453125,0.3982534166666667,19.6,London Marylebone Road,0,4,2023
2023-10-24,8.390255416666667,46.52948708333333,67.04109375,138.369375,0.44967225000000005,16.9,London Marylebone Road,1,4,2023
2023-10-25,8.720341304347826,21.71435909090909,44.29176136363637,77.58664772727273,0.3698047058823529,17.0,London Marylebone Road,2,4,2023
2023-10-26,9.571044583333334,47.22589625,53.095781249999995,125.48390625,0.33664783333333337,16.8,London Marylebone Road,3,4,2023
2023-10-27,11.217497083333333,45.80189541666667,55.5103125,125.73890625,0.3633274166666667,14.7,London Marylebone Road,4,4,2023
2023-10-28,22.002592500000002,23.095838333333333,39.24609375,74.6671875,0.27358699999999997,12.5,London Marylebone Road,5,4,2023
2023-10-29,29.01248875,21.193705833333333,35.37328125,67.86984375,0.2595195833333333,10.3,London Marylebone Road,6,4,2023
2023-10-30,13.213197083333334,46.95564791666666,51.653437499999995,123.66703125,0.3545959166666666,18.2,London Marylebone Road,0,4,2023
2023-10-31,7.944786666666666,52.168322499999995,47.84437500000001,127.82671875,0.38370091666666667,15.4,London Marylebone Road,1,4,2023
2023-11-01,26.401447916666665,26.522133636363638,34.48585227272727,75.13517045454545,0.2465066956521739,16.2,London Marylebone Road,2,4,2023
2023-11-02,27.682022083333333,31.425723499999997,38.7759375,86.9900625,0.2595195833333333,22.2,London Marylebone Road,3,4,2023
2023-11-03,19.4081825,44.138828749999995,41.62078125,109.28343749999999,0.3473196666666667,,London Marylebone Road,4,4,2023
2023-11-04,22.010907916666667,23.77145916666667,36.8315625,73.28859375,0.337618,16.3,London Marylebone Road,5,4,2023
2023-11-05,20.36445541666667,20.086727083333333,29.603906249999998,60.42703125,0.33034175,15.7,London Marylebone Road,6,4,2023
2023-11-06,20.015207916666665,39.52856391304348,42.75684782608696,103.34983695652173,0.32452074999999997,30.6,London Marylebone Road,0,4,2023
2023-11-07,13.678860416666666,51.77334416666667,53.71734375,133.10999999999999,0.37496941666666667,16.9,London Marylebone Road,1,4,2023
2023-11-08,15.250474166666665,39.15979695652174,58.3229347826087,118.34217391304347,0.3381241739130435,,London Marylebone Road,2,4,2023
2023-11-09,17.12975833333333,43.82180666666667,58.2196875,125.42812500000001,0.38273074999999995,16.6,London Marylebone Road,3,4,2023
2023-11-10,18.518432916666665,30.891463333333334,48.864374999999995,96.21468750000001,0.37448433333333336,28.6,London Marylebone Road,4,4,2023
2023-11-11,7.7499683333333325,55.40090833333334,57.271406250000005,142.21828125,0.5301960833333333,20.8,London Marylebone Road,5,4,2023
2023-11-12,7.425667083333334,26.588278333333335,49.15921875,89.92734374999999,0.45258275,23.0,London Marylebone Road,6,4,2023
