Hourly measurement data supplied by UK-air on 13/07/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Marylebone Road",
Latitude,,51.522530,,
Longitude,,-0.154611,,
Site Type,,Urban Traffic,,
Zone,,Greater London,,
Agglomeration,,Greater London Urban Area,,
Local Authority,,"Westminster",,
Date,Time,"Carbon monoxide",Status
2021-01-10,17:00:00,0.305203,V mgm-3
2021-01-10,18:00:00,0.384683,V mgm-3
2021-01-10,19:00:00,0.384683,V mgm-3
2021-01-10,20:00:00,0.391041,V mgm-3
2021-01-10,21:00:00,0.400579,V mgm-3
2021-01-10,22:00:00,0.292487,V mgm-3
2021-01-10,23:00:00,0.206648,V mgm-3
2021-01-10,24:00:00,0.133527,V mgm-3
2021-01-11,01:00:00,0.548768,V mgm-3
2021-01-11,02:00:00,0.447457,V mgm-3
2021-01-11,03:00:00,0.459065,V mgm-3
2021-01-11,04:00:00,0.436903,V mgm-3
2021-01-11,05:00:00,0.386248,V mgm-3
2021-01-11,06:00:00,0.364086,V mgm-3
2021-01-11,07:00:00,0.474896,V mgm-3
2021-01-11,08:00:00,0.63636,V mgm-3
2021-01-11,09:00:00,0.493891,V mgm-3
2021-01-11,10:00:00,0.465397,V mgm-3
2021-01-11,11:00:00,0.4559,V mgm-3
2021-01-11,12:00:00,0.370418,V mgm-3
2021-01-11,13:00:00,0.436903,V mgm-3
2021-01-11,14:00:00,0.379917,V mgm-3
2021-01-11,15:00:00,0.341924,V mgm-3
2021-01-11,16:00:00,0.405244,V mgm-3
2021-01-11,17:00:00,0.443235,V mgm-3
2021-01-11,18:00:00,0.40841,V mgm-3
2021-01-11,19:00:00,0.405244,V mgm-3
2021-01-11,20:00:00,0.370418,V mgm-3
2021-01-11,21:00:00,0.272274,V mgm-3
2021-01-11,22:00:00,0.240613,V mgm-3
2021-01-11,23:00:00,0.164631,V mgm-3
2021-01-11,24:00:00,0.091813,V mgm-3
2021-01-12,01:00:00,0.168147,V mgm-3
2021-01-12,02:00:00,0.109295,V mgm-3
2021-01-12,03:00:00,0.100887,V mgm-3
2021-01-12,04:00:00,0.063055,V mgm-3
2021-01-12,05:00:00,0.078819,V mgm-3
2021-01-12,06:00:00,0.107194,V mgm-3
2021-01-12,07:00:00,0.129262,V mgm-3
2021-01-12,08:00:00,0.107194,V mgm-3
2021-01-12,09:00:00,0.157637,V mgm-3
2021-01-12,10:00:00,0.16079,V mgm-3
2021-01-12,11:00:00,0.170248,V mgm-3
2021-01-12,12:00:00,0.223844,V mgm-3
2021-01-12,13:00:00,0.239609,V mgm-3
2021-01-12,14:00:00,0.280594,V mgm-3
2021-01-12,15:00:00,0.302663,V mgm-3
2021-01-12,16:00:00,0.368871,V mgm-3
2021-01-12,17:00:00,0.428773,V mgm-3
2021-01-12,18:00:00,0.542272,V mgm-3
2021-01-12,19:00:00,0.602174,V mgm-3
2021-01-12,20:00:00,0.617938,V mgm-3
2021-01-12,21:00:00,0.684146,V mgm-3
2021-01-12,22:00:00,0.78188,V mgm-3
2021-01-12,23:00:00,0.737742,V mgm-3
2021-01-12,24:00:00,0.721979,V mgm-3
2021-01-13,01:00:00,0.47302,V mgm-3
2021-01-13,02:00:00,0.506508,V mgm-3
2021-01-13,03:00:00,0.543137,V mgm-3
2021-01-13,04:00:00,0.486625,V mgm-3
2021-01-13,05:00:00,0.44895,V mgm-3
2021-01-13,06:00:00,0.392439,V mgm-3
2021-01-13,07:00:00,0.470927,V mgm-3
2021-01-13,08:00:00,0.593368,V mgm-3
2021-01-13,09:00:00,0.631043,V mgm-3
2021-01-13,10:00:00,0.558833,V mgm-3
2021-01-13,11:00:00,0.65302,V mgm-3
2021-01-13,12:00:00,0.618485,V mgm-3
2021-01-13,13:00:00,0.659298,V mgm-3
2021-01-13,14:00:00,0.791158,V mgm-3
2021-01-13,15:00:00,0.599648,V mgm-3
2021-01-13,16:00:00,0.364184,V mgm-3
2021-01-13,17:00:00,0.348486,V mgm-3
2021-01-13,18:00:00,0.420695,V mgm-3
2021-01-13,19:00:00,0.285696,V mgm-3
2021-01-13,20:00:00,0.263719,V mgm-3
