# Average permutation-importance ranks. Rank 1 = most important.
# Trees: Random_Forest_multistep.ipynb and XG Boost-2_multistep.ipynb only (not Random_Forest.ipynb / XG Boost-2.ipynb).
# RF values: rf_results_path/rf_permutation_importance_{h}d.csv (direct model for lead h; sklearn n_repeats=20).
# XGB values: xgb_results_path/xgboost_feature_importance_across_horizons.csv columns '{h} Day' (same protocol).
# CNN-LSTM / PatchTST: cnn_lstm.ipynb and transformer.ipynb multi-output path models; plot top 15 only; unlisted = 16.
# LSTM/GRU (gru_lstm_multi_horizon_.ipynb) have no permutation run and are omitted.
# Day 1 has no neural ranks. Do not average raw importance across implementations.
horizon_days,feature,mean_rank,n_models,mean_rank_rf_xgb,rf_rank,xgb_rank,cnn_lstm_rank,transformer_rank,rf_importance,xgb_importance
14,dow_sin,22.25,4,29.0,21,37,15,16,0.002781,-0.007187
14,doy_sin,22.25,4,33.0,27,39,16,7,0.000465,-0.019524
14,quarter_num,22.5,4,29.0,39,19,16,16,-0.008169,0.0
14,season_code,22.75,4,29.5,31,28,16,16,-7.2e-05,-0.000695
14,day_of_week_x,23.5,4,31.0,28,34,16,16,0.000192,-0.003116
14,wind_direction_deg,28.0,4,40.0,40,40,16,16,-0.013098,-0.021186
30,doy_cos,3.5,4,1.0,1,1,7,5,0.067477,0.025474
30,day_of_month,8.5,4,3.5,5,2,11,16,0.014013,0.024999
30,mean_relative_humidity_pct,8.75,4,6.5,6,7,8,14,0.012843,0.000316
30,relative_humidity_min_pct,9.5,4,3.5,4,3,16,15,0.014092,0.016038
30,day_of_year,9.75,4,13.0,2,24,1,12,0.041959,-0.002905
30,week_of_year,10.5,4,14.0,20,8,4,10,-0.002698,0.000121
30,is_weekday,12.5,4,9.0,8,10,16,16,0.000464,0.0
30,wind_speed_min_knots,12.75,4,9.5,14,5,16,16,-0.001364,0.001246
30,year,12.75,4,9.5,9,10,16,16,0.0,0.0
30,precipitation_min_mm,13.0,4,10.0,10,10,16,16,-0.0,0.0
30,week_cos,13.0,4,16.0,3,29,16,4,0.027838,-0.008907
30,doy_sin,13.75,4,18.0,13,23,16,3,-0.001033,-0.002718
30,is_weekend,13.75,4,13.5,11,16,12,16,-9.7e-05,-0.000137
30,month_sin,13.75,4,19.0,17,21,16,1,-0.001965,-0.001184
30,season_code,14.0,4,12.0,15,9,16,16,-0.001558,5.6e-05
30,dow_cos,14.75,4,17.0,19,15,9,16,-0.002514,-2.2e-05
30,quarter_num,15.0,4,21.0,32,10,5,13,-0.015177,0.0
30,quarter,15.5,4,22.0,34,10,2,16,-0.018625,0.0
30,wind_speed_max_knots,15.5,4,15.0,24,6,16,16,-0.005557,0.000317
30,dow_sin,15.75,4,16.0,7,25,15,16,0.002066,-0.003645
30,mean_wind_speed_knots,15.75,4,15.5,27,4,16,16,-0.007418,0.003534
30,day_of_week_x,16.25,4,18.0,16,20,13,16,-0.001719,-0.000359
30,wind_direction_deg,16.75,4,18.5,18,19,14,16,-0.002212,-0.000268
30,month,17.25,4,28.5,35,22,3,9,-0.019593,-0.001476
30,day_of_week_y,17.5,4,19.0,21,17,16,16,-0.003693,-0.000156
30,month_cos,17.75,4,22.0,12,32,16,11,-0.000307,-0.014219
30,air_pressure_max_hpa,18.75,4,26.5,23,30,16,6,-0.005183,-0.009854
30,precipitation_max_mm,19.5,4,23.0,28,18,16,16,-0.007722,-0.000203
30,relative_humidity_max_pct,20.25,4,24.5,22,27,16,16,-0.004339,-0.004247
30,week_sin,20.25,4,34.5,30,39,10,2,-0.010491,-0.045564
30,total_precipitation_mm,21.5,4,27.0,26,28,16,16,-0.006442,-0.005881
30,pm25_rollstd3,21.75,4,27.5,29,26,16,16,-0.007954,-0.003957
30,temperature_min_c,22.5,4,29.0,25,33,16,16,-0.006379,-0.015173
30,temperature_avg_c,23.0,4,35.0,36,34,6,16,-0.020528,-0.02249
30,pm25_lag1,23.5,4,31.0,31,31,16,16,-0.012211,-0.010617
30,mean_air_pressure_hpa,24.0,4,36.5,33,40,16,7,-0.018496,-0.053252
30,air_pressure_min_hpa,24.75,4,37.5,37,38,16,8,-0.02755,-0.039194
30,pm25_rollmean3,26.5,4,37.0,38,36,16,16,-0.029447,-0.03321
30,temperature_max_c,26.75,4,37.5,40,35,16,16,-0.050348,-0.032308
30,pm25_lag7,27.0,4,38.0,39,37,16,16,-0.030151,-0.038823
